piece,piece_url,Work Title,Composer,Opus/Catalogue NumberOp./Cat. No.,Key,Movements/SectionsMov'ts/Sec's,Year/Date of CompositionY/D of Comp.,Composer Time PeriodComp. Period,Piece Style,Instrumentation,Average DurationAvg. Duration
"Suite in A major, BWV 824 (Bach, Johann Sebastian)",https://imslp.org/wiki/Suite_in_A_major%2C_BWV_824_(Bach%2C_Johann_Sebastian),Suite in A major,"Telemann, Georg Philipp","TWV 32:14 ; (BWV 824) ; BWV App C, S. 707 ; BWV Suppl 1, S. 637 ; BWV Anh. III 182‑> ; BNB I/T/3",A major,3 movements:AllemandeCouranteGigue,,Baroque,Baroque,harpsichord,
"Suite in A minor, BWV 818a (Bach, Johann Sebastian)",https://imslp.org/wiki/Suite_in_A_minor%2C_BWV_818a_(Bach%2C_Johann_Sebastian),Suite,"Bach, Johann Sebastian",BWV 818a ; BC L 25,A minor,6 movements:1. [....] Fort gai (Prélude)2. Allemande3. Courante4. Sarabande5. Menuet6. Gigue,1720-22?,Baroque,Baroque,keyboard,
"Suite in A minor, BWV 818 (Bach, Johann Sebastian)",https://imslp.org/wiki/Suite_in_A_minor%2C_BWV_818_(Bach%2C_Johann_Sebastian),Suite,"Bach, Johann Sebastian",BWV 818 ; BC L 25,A minor,5 movements:1. Allemande2. Courante3. Sarabande Simple4 (3a). Sarabande Double5 (4). Gigue,1720-22?,Baroque,Baroque,keyboard,
"Suite in B-flat major, BWV 821 (Bach, Johann Sebastian)",https://imslp.org/wiki/Suite_in_B-flat_major%2C_BWV_821_(Bach%2C_Johann_Sebastian),Suite,"Bach, Johann Sebastian",BWV 821 ; BWV App A 20 ; BC L 169,B-flat major,5 movements:PraeludiumAllemandeCouranteSarabandeEcho,,Baroque,Baroque,keyboard,
"Suite in C minor, BWV 997 (Bach, Johann Sebastian)",https://imslp.org/wiki/Suite_in_C_minor%2C_BWV_997_(Bach%2C_Johann_Sebastian),Suite in c,"Bach, Johann Sebastian",BWV 997 ; BC L 170,C minor,5 movements:PreludeFugaSarabandeGigueDouble,1738-41,Baroque,Baroque,"Version 1:lute-harpsichordVersion 2:lute (Nos.1–4), lute-harpsichord (No.5)",
"Suite in E major, BWV 1006a (Bach, Johann Sebastian)",https://imslp.org/wiki/Suite_in_E_major%2C_BWV_1006a_(Bach%2C_Johann_Sebastian),Suite,"Bach, Johann Sebastian",BWV 1006a ; BC L 171,E major,7 movements:Prélude (139 bars)LoureGavotte en RondeauMenuet IMenuet IIBourréeGigue,1736–37,Baroque,Baroque,lute (or lute-harpsichord),
"Suite in E minor, BWV 996 (Bach, Johann Sebastian)",https://imslp.org/wiki/Suite_in_E_minor%2C_BWV_996_(Bach%2C_Johann_Sebastian),Suite,"Bach, Johann Sebastian",BWV 996 ; BC L 166,E minor,6 movements:Praeludio: Passaggio - PrestoAllemandeCouranteSarabandeBourréeGigue,1712–17?,Baroque,Baroque,lute (or lute-harpsichord),
"Suite in E-flat major, BWV 819a (Bach, Johann Sebastian)",https://imslp.org/wiki/Suite_in_E-flat_major%2C_BWV_819a_(Bach%2C_Johann_Sebastian),Suite,"Bach, Johann Sebastian",BWV 819a ; BC L 26,E-flat major,6 movements:1. Allemande2. Courante3. Sarabande4. Bourrée5. Menuet I6. Menuet II,1725-28?,Baroque,Baroque,keyboard,
"Suite in E-flat major, BWV 819 (Bach, Johann Sebastian)",https://imslp.org/wiki/Suite_in_E-flat_major%2C_BWV_819_(Bach%2C_Johann_Sebastian),Suite,"Bach, Johann Sebastian",BWV 819 ; BC L 26,E-flat major,6 movements:1. Allemande2. Courante3. Sarabande4. Bourrée5. Menuet I6. Menuet II,1725?,Baroque,Baroque,keyboard,
"Suite in F major, BWV Anh.80 (Bach, Johann Sebastian)",https://imslp.org/wiki/Suite_in_F_major%2C_BWV_Anh.80_(Bach%2C_Johann_Sebastian),"Suite in F major, BWV Anh.80","Bach, Johann Sebastian",BWV Anh.80,F major,4 movementsI. AllemandeII. CouranteIII. SarabandeIV. Gigue,?,Baroque,Baroque,Keyboard,
