piece,piece_url,Work Title,Composer,Opus/Catalogue NumberOp./Cat. No.,Key,Movements/SectionsMov'ts/Sec's,Year/Date of CompositionY/D of Comp.,Composer Time PeriodComp. Period,Piece Style,Instrumentation,Average DurationAvg. Duration
"The Nutcracker (suite), Op.71a (Tchaikovsky, Pyotr)",https://imslp.org/wiki/The_Nutcracker_(suite)%2C_Op.71a_(Tchaikovsky%2C_Pyotr),The Nutcracker Suite,"Tchaikovsky, Pyotr",Op.71a ; TH 35,,"8 movements:1. Ouverture miniatureAllegro giusto (B-flat major, 182 bars)2. Danses caractéristiquesa.Marche. Tempo di marcia viva (G major, 88 bars)b.Danse de la fée-dragée. Andante non troppo (E minor, 52 bars)c.Danse russe 'Trépak'. Tempo di trépak, molto vivace (G major, 84 bars)d.Danse arabe. Allegro (G minor, 102 bars)e.Danse chinoise. Allegro moderato (B-flat major, 32 bars)f.Danse des mirlitons. Allegro (D major, 77 bars)3. Valse des fleursTempo di valse (D major, 353 bars)",1892,Romantic,Romantic,"2+1, 2+1, 2+1, 2 - 4, 2, 3, 1, timp, perc, cel, hp, strspiccolo, 2 flutes, 2 oboes, English horn, 2 clarinets, bass clarinet, 2 bassoons4 horns, 2 trumpets, 3 trombones, tubatimpani, triangle, cymbals, glockenspiel, tambourine, celesta, harp, strings",23 minutes
"Ode to Joy, TH 66 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/Ode_to_Joy%2C_TH_66_(Tchaikovsky%2C_Pyotr),Ode to Joy,"Tchaikovsky, Pyotr",TH 66,C minor,"6 movements:Andante (C minor, 90 bars)Allegro non troppo (E major, 149 bars)Adagio molto (G major, 84 bars)Allegro (B♭major, 109 bars)Andante non troppo (F major, 78 bars)Allegro giusto (C major, 335 bars)",1865,Romantic,Romantic,"Solo Voices(SATB)Mixed Chorus(SATB)Orchestra': piccolo, 2 flutes, 2 oboes, 2 clarinets, 2 bassoons4 horns, 2 trumpets, 3 trombones, tuba, timpani, cymbals, bass drum, strings",26 minutes
"The Oprichnik, TH 3 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/The_Oprichnik%2C_TH_3_(Tchaikovsky%2C_Pyotr),The Oprichnik,"Tchaikovsky, Pyotr",TH 3,,"4 acts, 5 scenes",1870–72,Romantic,Romantic,"voices, chorus, orchestraCastPrince Zhemchuzhny (Князь Жемчужный) (bass)Natalya (Наталья) (soprano)Molchan Mitkov (Молчан митьков (bass)Boyarina Morozova (Боярына Морозова) (mezzo-soprano)Andrey Morozov (Андрей Морозов) (tenor)Basmanov (Басманов) (contralto)Prince Vyazminsky (Князь Вязьминский) (baritone)Zakharyevna (Захарьевна) (soprano)Mixed Chorus(SATB)Orchestrapiccolo, 2 flutes, 2 oboes, 2 clarinets, 2 bassoons4 horns, 2 trumpets, 3 trombones, tubatimpani, triangle, cymbals, bass drum, harp, strings",165 minutes
"Overture in C minor, TH 38 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/Overture_in_C_minor%2C_TH_38_(Tchaikovsky%2C_Pyotr),Overture,"Tchaikovsky, Pyotr",TH 38,C minor,Andante—Allegro vivo (662 bars),1865–66,Romantic,Romantic,"piccolo, 2 flutes, 2 oboes, 2 clarinets, 2 bassoons4 horns, 2 trumpets, 3 trombones, tubatimpani, cymbals, bass drum, strings",14 minutes
"Overture in F major, TH 39 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/Overture_in_F_major%2C_TH_39_(Tchaikovsky%2C_Pyotr),Overture,"Tchaikovsky, Pyotr",TH 39,F major,Andante—Allegro molto (377 bars) —1st versionAndante—Allegro con spirito (687 bars) —2nd version,1865 —1st version1866 —2nd version,Romantic,Romantic,"1st version:2 flutes, 2 oboes, 2 clarinets, 2 bassoons, horn, trumpet, timpani, strings2nd version:2 flutes, 2 oboes, 2 clarinets, 2 bassoons, 4 horns, 2 trumpets, 3 trombones,  timpani, strings",7 minutes —1st version12 minutes —2nd version
"1812 Overture, Op.49 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/1812_Overture%2C_Op.49_(Tchaikovsky%2C_Pyotr),1812 Overture,"Tchaikovsky, Pyotr",Op.49 ; TH 49 ; ČW 46,E-flat major,Largo—Allegro giusto (428 bars),1880,Romantic,Romantic,"piccolo, 2 flutes, 2 oboes, English horn, 2 clarinets, 2 bassoons,4 horns, 2 cornets, 2 trumpets, 3 trombones, tuba,timpani, triangle, tambourine, side drum, cymbals, bass drum, bells, cannon, stringsBrass Band (ad lib.)open instrumentation (9 parts, in keyboard notation in original score)",15 minutes
"Pezzo capriccioso, Op.62 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/Pezzo_capriccioso%2C_Op.62_(Tchaikovsky%2C_Pyotr),Pezzo Capriccioso,"Tchaikovsky, Pyotr",Op.62 ; TH 62,B minor,Andante con moto (208 bars),1887,Romantic,Romantic,"18 parts2 flutes, 2 oboes, 2 clarinets, 2 bassoons4 horns, timpani, strings",7 minutes
"Piano Concerto No.1, Op.23 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/Piano_Concerto_No.1%2C_Op.23_(Tchaikovsky%2C_Pyotr),Piano Concerto No.1,"Tchaikovsky, Pyotr",Op.23 ; TH 55 ; ČW 53,B-flat minor,"A3 movements:Andante non troppo e molto maestoso—Allegro con spirito (B♭minor—B♭major, 865 bars)Andantino semplice—Allegro vivace assai (D♭major, 170 bars)Allegro con fuoco (B♭minor—B♭major, 313 bars)B3 movements:Allegro non troppo e molto maestoso—Allegro con spirito (B♭minor—B♭major, 865 bars)Andantino semplice—Allegro vivace assai (D♭major, 170 bars)Allegro con fuoco (B♭minor—B♭major, 313 bars)C3 movements:Allegro non troppo e molto maestoso—Allegro con spirito (B♭minor—B♭major, 865 bars)Andantino semplice—Prestissimo (D♭major, 170 bars)Allegro con fuoco (B♭minor—B♭major, 301 bars)",1874–75A; 1876–79B; 1888-90?C(standard version),Romantic,Romantic,"2 flutes, 2 oboes, 2 clarinets, 2 bassoons,4 horns, 2 trumpets, 3 trombones, timpani, strings",34 minutes
"Piano Concerto No.2, Op.44 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/Piano_Concerto_No.2%2C_Op.44_(Tchaikovsky%2C_Pyotr),Piano Concerto No.2,"Tchaikovsky, Pyotr",Op.44 ; TH 60,G major,"A3 movements:Allegro brillante e molto vivace (G major, 668 bars)Andante non troppo (D major, 332 bars)Allegro con fuoco (G major 560 bars)B3 movements:Allegro brillante (G major, 515 bars)Andante non troppo (D major, 141 bars)Allegro con fuoco (G major, 560 bars)",1879–80A; 1897B(revised by Alexander Siloti),Romantic,Romantic,"2 flutes, 2 oboes, 2 clarinets, 2 bassoons, 4 horns, 2 trumpets, timpani, strings",A47 minutes ;B40 minutes
"Piano Concerto No.3, Op.75 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/Piano_Concerto_No.3%2C_Op.75_(Tchaikovsky%2C_Pyotr),Piano Concerto No.3,"Tchaikovsky, Pyotr",Op.75 ; TH 65,E-flat major,Allegro brillante (473 bars),1893,Romantic,Romantic,"Solo:pianoOrchestra:3 flutes (3rd also piccolo), 2 oboes, 2 clarinets, 2 bassoons4 horns, 2 trumpets, 3 trombones, tuba, timpani, strings",16 minutes
"Piano Sonata, Op.80 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/Piano_Sonata%2C_Op.80_(Tchaikovsky%2C_Pyotr),Piano Sonata,"Tchaikovsky, Pyotr",Op.80 ; TH 123,C-sharp minor,"4 movements:Allegro con fuoco (C♯minor, 380 bars)Andante (A major, 106 bars)Allegro vivo (C♯minor, 336 bars)Allegro vivo (C♯minor, 411 bars)",1865,Romantic,Romantic,piano,27 minutes
"Piano Trio, Op.50 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/Piano_Trio%2C_Op.50_(Tchaikovsky%2C_Pyotr),Piano Trio,"Tchaikovsky, Pyotr",Op.50 ; TH 117,A minor,"2 (3) movements:1. Pezzo elegiaco. Moderato assai (A minor, 478 bars)2a. Tema con variazioni. Andante con moto (A major, 544 bars)2b. Variazione finale e coda. Allegro risoluto e con fuoco–Andante con moto (A major, 298 bars)",1881–82,Romantic,Romantic,"violin, cello, piano",46 minutes
"2 Pieces, Op.1 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/2_Pieces%2C_Op.1_(Tchaikovsky%2C_Pyotr),2 Pieces,"Tchaikovsky, Pyotr","Op.1 ; TH 124 (No.1), TH 122 (No.2)",see below,"2 pieces:Scherzo à la russe. Allegro moderato (B♭major, 267 bars)Impromptu. Allegro furioso (E♭minor, 150 bars)",1867 (No.1) ; 1863-64 (No.2),Romantic,Romantic,piano,14 minutes
"3 Pieces, Op.9 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/3_Pieces%2C_Op.9_(Tchaikovsky%2C_Pyotr),3 Pieces,"Tchaikovsky, Pyotr",Op.9 ; TH 131,see below,"3 pieces:Rêverie. Andante capriccioso (D major, 168 bars)Polka de salon. Andante moderato (B♭major, 128 bars)Mazurka de salon. Tempo giusto (D minor, 219 bars)",1870,Romantic,Romantic,piano,13 minutes
"2 Pieces, Op.10 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/2_Pieces%2C_Op.10_(Tchaikovsky%2C_Pyotr),2 Pieces,"Tchaikovsky, Pyotr",Op.10 ; TH 132,see below,"2 pieces:Nocturne. Andante cantabile (F major, 81 bars)Humoresque. Allegretto scherzando (G major, 134 bars)",1871–72,Romantic,Romantic,piano,7 minutes
"6 Pieces, Op.19 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/6_Pieces%2C_Op.19_(Tchaikovsky%2C_Pyotr),6 Pieces,"Tchaikovsky, Pyotr",Op.19 ; TH 133,see below,"6 pieces:Rêverie du soir. Andante espressivo (G minor, 82 bars)Scherzo humoristique. Allegro vivacissimo (D major, 316 bars)Feuillet d'album. Allegretto semplice (D major, 66 bars)Nocturne. Andante sentimentale (C♯minor, 66 bars)Capriccioso. Allegretto semplice (B♭major, 150 bars)Thème original et variations. Andante con moro (F major, 341 bars)",1873,Romantic,Romantic,piano,28 minutes
"6 Pieces, Op.21 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/6_Pieces%2C_Op.21_(Tchaikovsky%2C_Pyotr),6 Pieces (on a Single Theme),"Tchaikovsky, Pyotr",Op.21 ; TH 134,see below,"6 piecesPrélude. Allegro moderato (G♯minor, 36 bars)Fugue à 4 voix. Andante (G♯minor, 48 bars)Impromptu. Allegro molto (C♯minor, 42 bars)March funèbre. Moderato. Tempo di Marcia (A♭minor, 92 bars)Mazurque. Allegro moderato (A♭minor, 220 bars)Scherzo. Allegro vivace (A♭major, 225 bars)",1873,Romantic,Romantic,piano,26 minutes
"12 Pieces, Op.40 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/12_Pieces%2C_Op.40_(Tchaikovsky%2C_Pyotr),12 Pieces,"Tchaikovsky, Pyotr",Op.40 ; TH 138 ; ČW 136-147,see below,"12 pieces:Etude. Allegro giusto (G major, 114 bars)Chanson triste. Allegro non troppo (G minor, 68 bars)Marche funèbre. Tempo di Marcia funebre (C minor, 115 bars)Mazurka. Tempo di Mazurka (C major, 153 bars)Mazurka. Tempo di Mazurka (D major, 171 bars)Chant sans paroles. Allegro moderato (A minor, 110 bars)Au village. Andante sostenuto (A minor—C major)Valse. Tempo di Valse (A♭major, 191 bars)Valse. Tempo di Valse (F♯minor, 231 bars)Danse russe. Andantino (A minor, 120 bars)Scherzo. Allegro vivacissimo (D minor, 236 bars)Rêverie interrompue. Andante un poco rubato e con molto espressione (A♭major, 125 bars)",1878,Romantic,Romantic,piano,43 minutes
"6 Pieces, Op.51 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/6_Pieces%2C_Op.51_(Tchaikovsky%2C_Pyotr),6 Pieces,"Tchaikovsky, Pyotr",Op.51 ; TH 143,see below,"6 pieces:Valse de salon. Allegro (A♭major, 342 bars)Polka peu dansante. Allegro moderato (B minor, 183 bars)Menuetto scherzoso. Moderato assai (E♭major, 203 bars)Natha-valse. Moderato (A major, 173 bars)Romance. Andante cantabile (F major, 124 bars)Valse sentimentale. Tempo di Valse (F minor, 201 bars)",1882,Romantic,Romantic,piano,29 minutes
"18 Pieces, Op.72 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/18_Pieces%2C_Op.72_(Tchaikovsky%2C_Pyotr),18 Pieces,"Tchaikovsky, Pyotr",Op.72 ; TH 151 ; ČW 187-204,see below,"18 pieces:Impromptu. Allegro moderato e giocoso (= 126, F minor, 119 bars)Berceuse. Andante mosso (= 76, A♭major, 80 bars)Tendres reproches. Allegro non tanto ed agitato (= 116, C♯minor, 129 bars)Danse caractéristique. Allegro giusto (= 138, D major, 218 bars)Méditation. Andante mosso (D major, 85 bars)Mazurka pour danser. Tempo di Mazurka (B♭major, 192 bars)Polacca de concert. Tempo di Polacca (E♭major, 166 bars)Dialogue. Allegro moderato (= 120, B major, 73 bars)Un poco di Schumann. Moderato mosso (= 100, D♭major, 95 bars)Scherzo-fantaisie. Vivace assai (= 96, E♭minor, 313 bars)Valse-bluette. Tempo di Valse (E♭major, 162 bars)L'espiègle. Allegro moderato (= 112, E major, 46 bars)Echo rustique. Allegro non troppo (E♭major, 105 bars)Chant élégiaque. Adagio (D♭major, 93 bars)Un poco di Chopin. Tempo di Mazurka (C♯minor, 163 bars)Valse à cinq temps. Vivace (D major, 100 bars)Passé lontain. Moderato assai quasi Andante (E♭major, 78 bars)Scène dansante: Inviatation au trèpak. Allegro non tanto (C major, 237 bars)",1892–93,Romantic,Romantic,piano,69 minutes
"Potpourri on Themes from 'The Voyevoda', TH 128 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/Potpourri_on_Themes_from_'The_Voyevoda'%2C_TH_128_(Tchaikovsky%2C_Pyotr),"Potpourri on Themes from ""The Voyevoda""","Tchaikovsky, Pyotr",TH 128,F minor,Moderato (460 bars),1868,Romantic,Romantic,piano,14 minutes
"The Queen of Spades, Op.68 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/The_Queen_of_Spades%2C_Op.68_(Tchaikovsky%2C_Pyotr),The Queen of Spades,"Tchaikovsky, Pyotr",Op.68 ; TH 10,,"3 acts, 7 scenes:For complete listing, seethis page",1890,Romantic,Romantic,"CastHerman / Герман (1st tenor)Count Tomsky / Граф Томский (baritone)Prince Yeletsky / Князь Елецкий (baritone)Chekalinsky / Чекалинский (tenor)Surin / Сурин (bass)Chaplitsky / Чаплицкий) (2nd tenor)Narumov / Нарумов (2nd bass)Master of Ceremonies / Распорядитель (2nd tenor)Countess / Графиня (mezzo-soprano)Liza / Лиза (soprano)Polina / Полина (contralto)Governess / Гувернантка (mezzo-soprano)Masha / Маша (soprano)Prilepa / Прилепа (soprano)Milovzor / Милозвор (contralto)Zlatogor / Златогор (baritone)Mixed Chorus(SATB)Orchestrapiccolo, 3 flutes, 2 oboes, English horn, 2 clarinets, bass clarinet, 2 bassoons4 horns, 2 trumpets, tubatimpani, side drum, bass drum, piano, harp, stringsOffstagechildren's trumpets, drums",155 minutes
"Romance, Op.5 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/Romance%2C_Op.5_(Tchaikovsky%2C_Pyotr),Romance,"Tchaikovsky, Pyotr",Op.5 ; TH 127 ; ČW 104,F minor,Andante cantabile (106 bars),1868,Romantic,Romantic,piano,6 minutes
"6 Romances and Songs, Op.27 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/6_Romances_and_Songs%2C_Op.27_(Tchaikovsky%2C_Pyotr),6 Romances and Songs,"Tchaikovsky, Pyotr","Op.27, TH 98",,"6 songs:At Bedtime.Adagio misterioso (B♭minor, 64 bars)Look, Yonder Cloud.Andante semplice (C minor, 56 bars)Do Not Leave Me.Andante amoroso (F major, 69 bars)Evening.Moderato assai (B♭major, 40 bars)Was it the Mother Who Bore Me?Allegro non troppo. Tempo di Mazurka (E♭minor, 95 bars)My Spoiled Darling.Allegro con spirito. Tempo di Mazurka (A major, 145 bars)",1875,Romantic,Romantic,"voice, piano",16 minutes
"6 Romances, Op.6 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/6_Romances%2C_Op.6_(Tchaikovsky%2C_Pyotr),6 Romances,"Tchaikovsky, Pyotr",Op.6 ; TH 93 ; ČW 211-216,see below,"6 romances:Do Not Believe, My Friend.Moderato assai (C♯minor, 63 bars)Not a Word, O My Friend.Andante ma non troppo (E minor, 41 bars)Bitterly and Sweetly.Allegro vivo (A major, 81 bars)A Tear Trembles.Moderato assai (G♭major, 80 bars)Why?Moderato (D major, 41 bars)None but the Lonely Heart.Andante non tanto (D♭major, 54 bars)",1869,Romantic,Romantic,"voice, piano",18 minutes
"6 Romances, Op.16 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/6_Romances%2C_Op.16_(Tchaikovsky%2C_Pyotr),6 Romances,"Tchaikovsky, Pyotr",Op.16 ; TH 95,see below,"6 songs:Cradle Song.Andantino (A♭minor, 90 bars)Wait!Moderato assai (A minor, 55 bars)Accept Just Once.Allegro non tanto (C minor, 36 bars)O, Sing That Song.Allegro moderato (G major, 127 bars)So What?Allegretto (F♯minor, 164 bars)Modern Greek Song.Moderato lugubre (E♭minor, 48 bars)",1872–73,Romantic,Romantic,"voice, piano",18 minutes
"6 Romances, Op.25 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/6_Romances%2C_Op.25_(Tchaikovsky%2C_Pyotr),6 Romances,"Tchaikovsky, Pyotr",Op.25 ; TH 97 ; ČW 226-231,see below,"6 songs:Reconciliation.Moderato quasi Andante (G minor, 76 bars)As Over the Burning Ashes.Allegro con spirito (B minor, 74 bars)Mignon's Song.Allegro moderato (E♭major, 82 bars)The Canary.Moderato (G minor, 58 bars)I Never Spoke to Her.Andante semplice (A major, 55 bars)As They Kept Saying: Fool.Allegro giocoso (G minor, 55 bars)",1875,Romantic,Romantic,"voice, piano",21 minutes
"6 Romances, Op.28 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/6_Romances%2C_Op.28_(Tchaikovsky%2C_Pyotr),6 Romances,"Tchaikovsky, Pyotr","Op.28, TH 99",see below,"6 songs:No, I Shall never Tell.Moderato quasi Andantino (E♭major, 57 bars)The Corals.Moderato assai (F♯minor, 114 bars)Why?Moderato assai (D minor, 64 bars)He Loved Me So Much.Moderato (D minor, 55 bars)No Response, or Word, or Greeting.Andante sostenuto (C minor, 58 bars)The Terrible Moment.Andante non troppo (F♯minor, 50 bars",1875,Romantic,Romantic,"voice, piano",20 minutes
"6 Romances, Op.38 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/6_Romances%2C_Op.38_(Tchaikovsky%2C_Pyotr),6 Romances,"Tchaikovsky, Pyotr",Op.38 ; TH 101,see below,"6 songs:Don Juan's Serenade.Allegro non tanto (B minor, 164 bars)It was in the Early Spring'.Allegro moderato (E♭major, 101 bars)Amid the Din of the Ball.Moderato (B minor, 99 bars)O, If Only You Could.Allegro agitato (D major, 38 bars)The Love of a Dead Man.Andante non tanto (F major, 129 bars)Pimpinella: Florentine Song.Allegretto molto moderato (G major, 135 bars)",1878,Romantic,Romantic,"voice, piano",15 minutes
"7 Romances, Op.47 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/7_Romances%2C_Op.47_(Tchaikovsky%2C_Pyotr),7 Romances,"Tchaikovsky, Pyotr",Op.47 ; TH 103,see below,"7 songs:If Only I Had KnownAllegro moderato (C minor, 164 bars)Softly the Spirt Flew up to HeavenAndante con moto (E major, 73 bars)Dusk Fell on the EarthAllegro moderato (F major, 149 bars)Sleep, Poor FriendAndante non tanto (G♭major, 75 bars)I Bless You, ForestsAndante sostenuto (F major, 72 bars)Does the Day Reign?Andantino—Allegro agitato (E major, 77 bars)Was I Not a Little Blade of Grass in the Meadow?Moderato (F♯minor, 67 bars)",1880,Romantic,Romantic,"voice, piano",30 minutes
"6 Romances, Op.57 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/6_Romances%2C_Op.57_(Tchaikovsky%2C_Pyotr),6 Romances,"Tchaikovsky, Pyotr",Op.57 ; TH 105,see below,"6 songs:Tell Me, What in the Shade of the Branches?Andante sostenuto (E major, 63 bars)On the Golden Cornfields.Andante (F minor, 36 bars)Do Not Ask.Adagio molto sostenuto (D major, 32 bars)Sleep!Andante sostenuto (F major, 53 bars)Death.Moderato (F major, 75 bars)Only You Alone.Andante non troppo (F major, 36 bars)",1884,Romantic,Romantic,"voice, piano",17 minutes
"12 Romances, Op.60 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/12_Romances%2C_Op.60_(Tchaikovsky%2C_Pyotr),12 Romances,"Tchaikovsky, Pyotr",Op.60 ; TH 106,see below,"12 songs:Last Night.Allegro moderato (A♭major, 60 bars)I'll Tell You Nothing.Allegretto con moto (E major, 67 bars)O, If Only You Knew.Allegro agitato (E♭major, 67 bars)The Nightingale.Allegro molto rubato e capriccioso (C minor, 106 bars)Simple Words.Tempo di Valse (Allegro) (F major, 163 bars)Sleepless Nights.Andante non troppo, un poco rubato (G minor, 46 bars)Song of a Gypsy Girl.Allegro moderato (A minor, 81 bars)Forgive!Moderato (F major, 62 bars))Night.Moderato assai (G minor, 61 bars))Beyond the Window, in the Shadows.Allegro vivo (F major, 64 bars)Exploit.Andante (G minor, 39 bars)The Gentle Stars Shone For Us.Andante tenore (F major, 47 bars)",1886,Romantic,Romantic,"voice, piano",35 minutes
"6 Romances, Op.63 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/6_Romances%2C_Op.63_(Tchaikovsky%2C_Pyotr),6 Romances,"Tchaikovsky, Pyotr",Op.63 ; TH 107,see below,"6 songs:I Did Not Love You at First.Moderato mosso (B♭major, 65 bars)I Opened the Window.Allegro (F major, 32 bars)I Do Not Please You.Moderato (C major, 38 bars)The First Meeting.Allegro vivo (E♭major, 61 bars)The Fires in the Rooms Were Already Out.Andantino (E major, 37 bars)Serenade: O Child! Beneath Your Window.Allegretto (G major, 106 bars)",1886–87,Romantic,Romantic,"voice, piano",14 minutes
"6 Romances, Op.73 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/6_Romances%2C_Op.73_(Tchaikovsky%2C_Pyotr),6 Romances,"Tchaikovsky, Pyotr",Op.73 ; TH 109,see below,"6 songs:We Sat Together.Andante non troppo (E major, 32 bars)Night.Adsgio (F minor, 27 bars)In This Moonlit Night.Andante con moto (A♭major, 35 bars)The Sun Has Set.Andante (E major, 33 bars)Amid Sombre Days.Allegro moderato (A♭major, 44 bars)Again, As Before, Alone.Andante mosso (A minor, 33 bars)",1893,Romantic,Romantic,"voice, piano",15 minutes
"Romeo and Juliet (duet), TH 215 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/Romeo_and_Juliet_(duet)%2C_TH_215_(Tchaikovsky%2C_Pyotr),Romeo and Juliet,"Tchaikovsky, Pyotr",TH 215,,Andante non tanto quasi Moderato—Andante—Allegro giusto (277 bars),"1878–81? (unfinished) ; completed by Sergey Taneyev, 1894",Romantic,Romantic,"voices, orchestraCastJuliet (Джульетта) - sopranoRomeo (Ромео) - tenorOrchestra2 flutes, 2 oboes, english horn, 2 clarinets, 2 bassoons, 4 horns, harp, strings",13 minutes
"Romeo and Juliet (overture-fantasia), TH 42 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/Romeo_and_Juliet_(overture-fantasia)%2C_TH_42_(Tchaikovsky%2C_Pyotr),Romeo and Juliet,"Tchaikovsky, Pyotr",TH 42,B minor,Andante non troppo—Allegro giusto (448 bars) —1st VersionAndante non tanto quasi Moderato—Allegro giusto (539 bars) —2nd VersionAndante non tanto quasi Moderato—Allegro giusto (522 bars) —3rd Version,"1869, revised 1870 and 1880",Romantic,Romantic,"piccolo, 2 flutes, 2 oboes, English horn, 2 clarinets, 2 bassoons4 horns, 2 trumpets, 3 trombones, tubatimpani, cymbals, bass drum, harp, strings (all versions)",20 minutes
"50 Russian Folk Songs, TH 176 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/50_Russian_Folk_Songs%2C_TH_176_(Tchaikovsky%2C_Pyotr),50 Russian Folk Songs,"Tchaikovsky, Pyotr",TH 176 ; ČW 351–400,,"50 songs:The Young Maiden Walked So Far (Исходила младенька)Oh, My Poor Head! (Голова ль ты моя, головушка)Please, Try to Remember, My Darling (Вспомни, вспомни, моя любезная)The Eel Coiling in the Water (Вьюн на воде извивается)Do Not Flood, My Gentle Danube (Не разливайся, мой тихой Дунай)Keep on Spinning, My Spinner (Пряди, моя пряха)The Tower is Not Yet Built (Не тесам терен)The Pine-Tree Swings By the Gate (У ворот сосна раскачалася)All Flowers Fade (Поблекнут все цветики)Floating and Rising (Плывет, восплывает)My Green Vineyard (Зеленое мое, ты виноградье)Be Calmed, Stormy Winds (Не бушуйте, ветры буйные)At the Crack of Dawn (Как на зорке, на заре)It Isn't Drink That's Muddling My Head (Не хмель мою головушку клонит)Rise Up, Rise Up, O Sun (Взойди, взойди, солнце)Do Not Sing, O Nightingale (Не пой, не пой, соловушко)Master Andrei Made Merry (Гулял Андрей господин)The Duckling in the Meadow (Ах, утушка луговая)Young Maiden at the Feast (Я вечор млада во пиру была)I Shall Come to Your Town (Пойду, подступлю под ваш город)It's Not the Sound Resounding (Не шум шумит)Coming Down the Mountain (Как со горки, со горы)A Little Duckling was Swimming on the Sea (На море утушка купалася)I Wear My Hair in a Plait (Коса ль моя косынька)Beyond My Yard is a Green Meadow (За двором лужок, зеленешенек)We Worked the Land (А мы землю наняли)Upon the Sea So Blue (Как по морю, как по синему)On the Green Meadow (А как по лугу)Our Wine Cellar (Винный наш колоде)I'm Coming to the Capital (Пойду, пойду, во Царь-город)Thank You, But No Thank You, Father Superior (Не спасибо те, игумну тебе)Little Ivan Wears a Big Hat (На Иванушке чапан)In the Meadows (По лузах)Merry Kat'ia (Катенька веселая)O My Heart, My Heavy Heart (Эко сердце, эко бедное мое)Oh, My Duckling in the Meadow (Ой, утушка моя луговая)The Young Maiden (Молодка-молоденькая)Play My Bagpipes (Заиграй, моя волынка)O, My Fields (Уж ты, поле мое поле)Stop My Merry Dance (Стой, мой милый хоровод)The Grey Cockerel (Уж ты, сизенький петух)Under the Green Apple Tree (Под яблонью)O, My Unspoiled Field (Уж ты, поле мое, поле чистой)Like a Princess in the Town (Как во городе царевна)Cranberries and Raspberries (Калинушка с малинушкой)In the Meadows (Как по лугу, по лужечку)Vanya was Sitting (Сидел Ваня)By the Gates (У ворот, ворот)Song of the Volga Boatmen (Эй, ухнем: Бурлацкая)There Was No Wind (Не было ветру)",1868–69,Romantic,Romantic,piano 4-hands (arranged),33 minutes
"9 Sacred Pieces, TH 78 (Tchaikovsky, Pyotr)",https://imslp.org/wiki/9_Sacred_Pieces%2C_TH_78_(Tchaikovsky%2C_Pyotr),9 Sacred Pieces,"Tchaikovsky, Pyotr",TH 78,see below,"9 piecesCherubim's Song No.1. Quite slowly (F major, 78 bars)Cherubim's Song No.2. Slowly (D major, 116 bars)Cherubim's Song No.3. Slowly (C major, 85 bars)We Hymn Thee. Moderately (C major, 36 bars)It is Truly Fitting. Moderately (D minor, 48 bars)Our Father. Quite lively—More slowly (F major, 70 bars)Blessed Are They Whom Thou Hast Chosen. Quite slowly (E♭major, 58 bars)Let My Prayer Ascend. Slowly (D minor, 15 bars)Now the Heavenly Powers. Slowly (G major, 78 bars)",1884–85,Romantic,Romantic,mixed chorus (SATB),43 minutes
